[2026-01-09T16:36:16.282Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T16:36:16.968Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T16:48:40.259Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T16:48:40.921Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T16:49:34.430Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T16:50:47.218Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T16:50:47.874Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T16:52:20.101Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T16:52:20.786Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T16:56:04.442Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 54eaafb2-42f5-45c9-a036-97a4a0737e00, Filter: closed
[2026-01-09T16:58:23.812Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T16:58:24.481Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T16:59:01.271Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T16:59:01.951Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T17:00:28.031Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T17:00:29.314Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T17:00:42.371Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T17:00:43.101Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T17:02:15.553Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 4674d115-fd35-48b2-ba24-a47ff6b08e38, Filter: closed
[2026-01-09T17:02:45.606Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
[2026-01-09T17:02:46.267Z] Trades Request - User: 04a05ed2-1e1d-45aa-86d2-d0572501e7ed, Account: 6a7bbdc4-b40b-4594-b650-c74df9f18a5c, Filter: closed
